Heartrate;Speed;Cadence;Steplenght;Inclination
97;5.1;0.8;0.5;3.5;2018-06-20 12:06:42.655470
75;6.1;0.8;0.5;2.5;2018-06-20 12:06:43.656758
98;6.1;0.8;0.5;2.5;2018-06-20 12:06:44.657958
70;4.1;0.8;0.5;1.5;2018-06-20 12:06:45.659333
90;6.1;0.8;0.5;2.5;2018-06-20 12:06:46.660716
84;4.1;0.8;0.5;1.5;2018-06-20 12:06:47.661355
89;5.1;0.8;0.5;2.5;2018-06-20 12:06:48.662548
87;4.1;0.8;0.5;3.5;2018-06-20 12:06:49.663734
89;4.1;0.8;0.5;1.5;2018-06-20 12:06:50.664930
80;4.1;0.8;0.5;3.5;2018-06-20 12:06:51.666127
81;5.1;0.8;0.5;2.5;2018-06-20 12:06:52.667319
85;5.1;0.8;0.5;1.5;2018-06-20 12:06:53.668507
74;4.1;0.8;0.5;2.5;2018-06-20 12:06:54.669364
89;5.1;0.8;0.5;2.5;2018-06-20 12:06:55.670706
86;4.1;0.8;0.5;2.5;2018-06-20 12:06:56.671899
88;4.1;0.8;0.5;1.5;2018-06-20 12:06:57.673113
78;4.1;0.8;0.5;2.5;2018-06-20 12:06:58.674305
90;5.1;0.8;0.5;1.5;2018-06-20 12:06:59.675499
72;4.1;0.8;0.5;1.5;2018-06-20 12:07:00.676695
99;4.1;0.8;0.5;2.5;2018-06-20 12:07:01.677893
98;6.1;0.8;0.5;1.5;2018-06-20 12:07:02.679259
81;4.1;0.8;0.5;2.5;2018-06-20 12:07:03.680461
80;5.1;0.8;0.5;2.5;2018-06-20 12:07:04.681836
78;6.1;0.8;0.5;2.5;2018-06-20 12:07:05.683032
74;4.1;0.8;0.5;2.5;2018-06-20 12:07:06.684416
88;5.1;0.8;0.5;1.5;2018-06-20 12:07:07.685833
94;0.0;0.0;0.0;1.5;2018-06-20 12:07:08.686733
